Name,2_March
20 Microns,149.65
21st Century Mgmt,48.45
360 One Wam,726.85
3B Blackbio Dx,847.25
3i Infotech,49.25
3M India,31837.7
3P Land Holdings,33.15
52 Weeks,2.02
5Paisa Capital,558.1
63 Moons Tech,478.75
7NR Retail,5.77
7NR Retail,5.77
7Seas Enter,34.44
A & M Febcon,1.03
A-1 Acid,354.65
A2Z Infra Engg,15.5
AAA Technologies,105.9
Aadi Industries,6.62
Aakash Exploration,10.2
Aananda L Mills,30.32
Aanchal Ispat,7.6
AAR Comrcl,0
AAR Shyam India,9.41
Aarey Pharma,46.95
Aarnav Fashions,30.36
Aaron Industries,291.25
Aartech Solonics,155.65
Aarti Drugs,505.3
Aarti Industries,675.3
Aarti Pharmalabs,491.5
Aarti Surfactant,678.6
Aarvee Denims,33.95
Aarvi Encon,138.65
Aastamangalam,49.5
Aavas Financiers,1454.35
Aayush Food & Herb,130.85
Aban Offshore,72.3
Abans Enterprise,144.8
Abans Holdings,326.25
Abate As Inds,24.8
ABB India,5499.55
Abbott India,28181.95
ABC Gas (Intl),58
ABC India,147.75
ABFRL,231.5
Abhinav Capital,175.4
Abhinav Finance,2.28
Abhishek Finlease,32.75
Abhishek Infraven,6.42
Abm International,57.8
ABM Knowledgeware,110.65
ACC,2702.55
Accedere,74.97
Accel,24.13
Accelya Solutions,1889.85
Accuracy Shipping,11.8
Accuracy Shipping,11.8
Ace Engitech,23.5
Ace Integrated Soln,37.5
ACE men engg works,51.96
ACE Software Exp,101.04
ACI Infocom,2.31
Acknit Industries,263.85
ACME Resources,48.16
Acrow India,686.3
Action Const Equip,1487.3
Action Fin Serv (I),3.19
Active Clothing Co,95
AD-Manum Finance,69.93
Adani Energy Solut.,1080.8
Adani Enterprises,3333.25
Adani Green Energy,1971.35
Adani Ports,1338.3
Adani Power,555.8
Adani Total Gas,1040.1
Adani Wilmar,386.6
Adarsh Plant,31.41
ADC India Comm,0
Adcon Capital Serv,1.05
Add-Shop E-Retail,28.36
Addi Industries,59.29
ADF Foods,216.05
ADF Foods,216.05
Adhbhut Infra,31.27
Adhunik Industries,42.25
Adinath Exim Rsrcs,29.9
Adinath Textiles,27.85
Aditri Gems,0.96
Aditya Birla Cap,186.75
Aditya Birla Money,112.7
Aditya Birla Sun,520.05
Aditya Ispat,10.92
Aditya Spinners,0
Aditya Vision,3541.05
Adjia Technologies,38
Ador Fontech,150.3
Ador Multi Prod,38.04
Ador Welding,1474.5
Adroit Infotech,17.2
Advait Infratech,1386.8
Advance Lifestyles,42.5
Advance Metering,0
Advance Petrochem,166
Advance Syntex,7.18
Advanced Enzyme,393.2
Advani Hotels,168.2
Advent Computer,2.82
Advik Capital,3.21
Aegis Logistics,440.4
Aeonx Digital Techno,0
Aeroflex Industries,145.85
Aerpace Indus.,11.86
Aether Inds,866.1
AF Enterprises,6.68
Affle India,1125.1
Agarwal Fortune Ind,31.5
Agarwal Inds Corp,953.45
AGI Greenpac,881
AGI Infra,985.5
Agio Paper & Inds,7.5
Agri-Tech India,193.45
Agro Phos India,46.55
Agro Tech Foods,823.65
AGS Transact,89.35
Ahasolar Tech,606.05
Ahlada Engineers,121.85
Ahluwalia Contracts,1215.3
Ahmedabad Steel,40.21
Ai Champdany Inds,0
AIA Engineering,3713.3
Aimco Pesticides,0
Airan,27.75
AiroLam,179.05
Ajanta Pharma,2139.25
Ajanta Soya,31.88
Ajcon Global Services,39.67
Ajel,16
Ajmera Realty,738.45
Ajooni Biotech,6.15
AK Capital Serv,1051.8
AK Spintex,148.25
Akar Auto Inds,132.5
Akash Infra-Projects,37.95
Akashdeep Metal Inds,23.1
AKG Exim,23.6
AKI India,25.45
Akme Star Housing,58.57
Aksh Optifibre,10.9
Akshar Spintex,3.5
Aksharchem (India),348.25
Akzo Nobel India,2522.65
Alan Scott Enter.,87.98
Alankit,19.4
Albert David,1298.15
Alchemist,3.15
Alchemist Corporation,16.55
Alchemist Realty,2.92
Alembic,101.35
Alembic Pharma,1048
Alexander Stamps,15.46
Alfa Ica India,62.99
Alfa Transformers,92.16
Alfavision Overseas,15.48
Alfred Herbert,0
Algoquant Fintec,1601.65
Alicon Castalloy,913.2
Alka India,2.7
Alka Sec,0.89
Alkali Metals,120.75
Alkem Laboratories,5106.55
Alkosign,206
Alkyl Amines Chem,2151.85
Allcargo Gati,117.2
Allcargo Logistics,87.8
Allcargo Terminal,65.5
Alliance Integrated,55.34
Allied Digital Serv,156.05
Allsec Technologies,835.35
Almondz Global Sec,113.45
Alok Industries,28.7
Alpa Laboratories,101.9
Alphageo (India),387.7
Alphalogic,88
Alpine Housing Dev,0
Alps Industries,2.25
Alps Motor Finance,0.38
Alstone Textiles,0.76
Alstone Textiles,0.76
Alufluoride,457.8
Amal,363
