,Name,Symbol,Link
0,AU Small Fin Bank,AUBANK.NS,au-small-finance-bank-ltd
1,Axis Bank,AXISBANK.NS,axis-bank-ltd
2,Bandhan Bank,BANDHANBNK.NS,bandhan-bank-ltd
3,Bank of Baroda,BANKBARODA.NS,bank-of-baroda
4,Bank of India,BANKINDIA.NS,bank-of-india
5,Bank of Maharashtra,MAHABANK.NS,bank-of-maharashtra
6,Canara Bank,CANBK.NS,canara-bank
7,Capital Small Fin.,CAPITALSFB.NS,capital-small-finance-bank-ltd
8,Central Bank of India,CENTRALBK.NS,central-bank-of-india
9,City Union Bank,CUB.NS,city-union-bank-ltd
10,CSB Bank,CSBBANK.NS,csb-bank-ltd
11,DCB Bank,DCBBANK.NS,dcb-bank-ltd
12,Dhanlaxmi Bank,DHANBANK.NS,dhanlaxmi-bank-ltd
13,Equitas Small Fin,EQUITASBNK.NS,equitas-small-finance-bank-ltd
14,ESAF Small Finance,ESAFSFB.NS,esaf-small-finance-bank-ltd
15,Fino Payments Bk,FINOPB.NS,fino-payments-bank-ltd
16,HDFC Bank,HDFCBANK.NS,hdfc-bank-ltd
17,ICICI Bank,ICICIBANK.NS,icici-bank-ltd
18,IDBI Bank,IDBI.NS,idbi-bank-ltd
19,IDFC First Bank,IDFCFIRSTB.NS,idfc-bank-ltd
20,Indian Bank,INDIANB.NS,indian-bank
21,Indian Overseas Bank,IOB.NS,indian-overseas-bank
22,IndusInd Bank,INDUSINDBK.NS,indusind-bank-ltd
23,Jana Small Fin. Bank,JSFB.NS,jana-small-finance-bank-ltd
24,Karnataka Bank,KTKBANK.NS,the-karnataka-bank-ltd
25,Karur Vysya Bank,KARURVYSYA.NS,karur-vysya-bank-ltd
26,Kotak Mahindra Bank,KOTAKBANK.NS,kotak-mahindra-bank-ltd
27,PNB,PNB.NS,punjab-national-bank
28,Punjab & Sind Bank,PSB.NS,punjab-sind-bank
29,RBL Bank,RBLBANK.NS,rbl-bank-ltd
30,SBI,SBIN.NS,state-bank-of-india
31,South Indian Bank,SOUTHBANK.NS,the-south-indian-bank-ltd
32,Suryoday Small Fin,SURYODAY.NS,suryoday-small-finance-bank-ltd
33,Tamilnad Mercantile,TMB.NS,tamilnad-mercantile-bank-ltd
34,The Federal Bank,FEDERALBNK.NS,the-federal-bank-ltd
35,UCO Bank,UCOBANK.NS,uco-bank
36,Ujjivan Small Fin,UJJIVANSFB.NS,ujjivan-small-finance-bank-ltd
37,Union Bank of India,UNIONBANK.NS,union-bank-of-india
38,Utkarsh Small Fin.,UTKARSHBNK.NS,utkarsh-small-finance-bank-ltd
39,Yes Bank,YESBANK.NS,yes-bank-ltd
