,Name,Symbol,Link
0,Aakash Exploration,AAKASH.NS,aakash-exploration-services-ltd
1,Aban Offshore,ABAN.NS,aban-offshore-ltd
2,Adani Energy Solut.,ADANIENSOL.NS,adani-transmission-ltd
3,Adani Green Energy,ADANIGREEN.NS,adani-green-energy-ltd
4,Adani Power,ADANIPOWER.NS,adani-power-ltd
5,Adani Total Gas,ATGL.NS,adani-gas-ltd
6,Agarwal Inds Corp,AGARIND.NS,agarwal-industrial-corporation-ltd
7,Amara Raja Energy,ARE&M.NS,amara-raja-batteries-ltd
8,Asian Energy Serv,ASIANENE.NS,asian-oilfield-services-ltd
9,BF Utilities,BFUTILITIE.NS,bf-utilities-ltd
10,BPCL,BPCL.NS,bharat-petroleum-corporation-ltd
11,CESC,CESC.NS,cesc-ltd
12,Chennai Petro Corp,CHENNPETRO.NS,chennai-petroleum-corporation-ltd
13,Confidence Petro,CONFIPET.NS,confidence-petroleum-india-ltd
14,Deep Energy Resource,DEEPENR.NS,deep-industries-ltd
15,Eveready Industries,EVEREADY.NS,eveready-industries-india-ltd
16,Exide Industries,EXIDEIND.NS,exide-industries-ltd
17,GAIL (India),GAIL.NS,gail-india-ltd
18,GMR Power,GMRP&UI.NS,gmr-power-and-urban-infra-ltd
19,GSPL,GSPL.NS,gujarat-state-petronet-ltd
20,Guj Inds Power Co,GIPCL.NS,gujarat-industries-power-company-ltd
21,Gujarat Gas,GUJGASLTD.NS,gujarat-gas-ltd
22,GVK Power & Infra,GVKPIL.NS,gvk-power-infrastructure-ltd
23,HBL Power Systems,HBLPOWER.NS,hbl-power-systems-ltd
24,HOEC,HINDOILEXP.NS,hindustan-oil-exploration-company-ltd
25,HPCL,HINDPETRO.NS,hindustan-petroleum-corporation-ltd
26,IEX,IEX.NS,indian-energy-exchange-ltd
27,India Power Corp,DPSCLTD.NS,india-power-corporation-ltd
28,Indo-National,NIPPOBATRY.NS,indonational-ltd
29,Indowind Energy,INDOWIND.NS,indowind-energy-ltd
30,Indraprastha Gas,IGL.NS,indraprastha-gas-ltd
31,Inox Wind Energy,IWEL.NS,inox-wind-energy-ltd
32,IOCL,IOC.NS,indian-oil-corporation-ltd
33,IRM Energy,IRMENERGY.NS,irm-energy-ltd
34,Jaiprakash Power,JPPOWER.NS,jaiprakash-power-ventures-ltd
35,Jindal Drilling,JINDRILL.NS,jindal-drilling-industries-ltd
36,JSW Energy,JSWENERGY.NS,jsw-energy-ltd
37,Karma Energy,KARMAENG.NS,karma-energy-ltd
38,Kothari Petrochem,KOTHARIPET.NS,kothari-petrochemicals-ltd
39,Linde India,LINDEINDIA.NS,linde-india-ltd
40,Mahanagar Gas,MGL.NS,mahanagar-gas-ltd
41,Mangalore Refinery,MRPL.NS,mangalore-refinery-petrochemicals-ltd
42,NHPC,NHPC.NS,nhpc-ltd
43,NLC India,NLCINDIA.NS,nlc-india-ltd
44,NTPC,NTPC.NS,ntpc-ltd
45,Oil India,OIL.NS,oil-india-ltd
46,ONGC,ONGC.NS,oil-natural-gas-corporation-ltd
47,Oricon Enterprises,ORICONENT.NS,oricon-enterprises-ltd
48,Orient Green Power,GREENPOWER.NS,orient-green-power-company-ltd
49,Petronet LNG,PETRONET.NS,petronet-lng-ltd
50,Power Grid Corp,POWERGRID.NS,power-grid-corporation-of-india-ltd
51,PTC India,PTC.NS,ptc-india-ltd
52,Rain Industries,RAIN.NS,rain-industries-ltd
53,RattanIndia Power,RTNPOWER.NS,rattanindia-power-ltd
54,Refex Industries,REFEX.NS,refex-industries-ltd
55,Reliance Infrastructure,RELINFRA.NS,reliance-infrastructure-ltd
56,Reliance Power,RPOWER.NS,reliance-power-ltd
57,Sampann Utpadan,SAMPANN.NS,se-power-ltd
58,Selan Exploration,SELAN.NS,selan-exploration-technology-ltd
59,SJVN,SJVN.NS,sjvn-ltd
60,Surana Telecom,SURANAT&P.NS,surana-telecom-power-ltd
61,Tata Power,TATAPOWER.NS,tata-power-company-ltd
62,TN Petro Products,TNPETRO.NS,tamilnadu-petroproducts-ltd
63,Torrent Power,TORNTPOWER.NS,torrent-power-ltd
64,Urja Global,URJA.NS,urja-global-ltd
