,Name,Symbol,Link
0,Agri-Tech India,AGRITECH.NS,agritech-india-ltd
1,Agro Phos India,AGROPHOS.NS,agro-phos-india-ltd
2,Apex Frozen Foods,APEX.NS,apex-frozen-foods-ltd
3,Aries Agro,ARIES.NS,aries-agro-ltd
4,Astec Lifesciences,ASTEC.NS,astec-lifesciences-ltd
5,BASF India,BASF.NS,basf-india-ltd
6,Bayer Cropscience,BAYERCROP.NS,bayer-cropscience-ltd
7,BBTC,BBTC.NS,bombay-burmah-trading-corporation-ltd
8,Bhagiradha Chem,BHAGCHEM.NS,bhagiradha-chemicals-industries-ltd
9,Bharat Rasayan,BHARATRAS.NS,bharat-rasayan-ltd
10,Bombay Hybrid Seeds,BSHSL.NS,bombay-super-hybrid-seeds-ltd
11,Chambal Fertilisers,CHAMBLFERT.NS,chambal-fertilisers-chemicals-ltd
12,Coromandel Intl,COROMANDEL.NS,coromandel-international-ltd
13,Deepak Fertilisers,DEEPAKFERT.NS,deepak-fertilisers-petrochemicals-corporation-ltd
14,Dhanuka Agritech,DHANUKA.NS,dhanuka-agritech-ltd
15,Dharmaj Crop Guard,DHARMAJ.NS,dharmaj-crop-guard-ltd
16,Excel Industries,EXCELINDUS.NS,excel-industries-ltd
17,GNFC,GNFC.NS,gujarat-narmada-valley-fertilizers-chemicals-ltd
18,GSFC,GSFC.NS,gujarat-state-fertilizers-chemicals-ltd
19,Harrisons Malayalam,HARRMALAYA.NS,harrisons-malayalam-ltd
20,Heranba Industries,HERANBA.NS,heranba-industries-ltd
21,India Pesticides,IPL.NS,india-pesticides-ltd
22,Insecticides India,INSECTICID.NS,insecticides-india-ltd
23,Kaveri Seed Co,KSCL.NS,kaveri-seed-company-ltd
24,Khaitan Chem & Fert,KHAICHEM.NS,khaitan-chemicals-fertilizers-ltd
25,Krishana Phoschem,KRISHANA.NS,krishana-phoschem-ltd
26,Madras Fertilizers,MADRASFERT.NS,madras-fertilizers-ltd
27,Mangalam Global Entr,MGEL.NS,mangalam-global-enterprise-ltd
28,Mangalore Chemical,MANGCHEFER.NS,mangalore-chemicals-fertilizers-ltd
29,MBAPL,MBAPL.NS,madhya-bharat-agro-products-ltd
30,NACL Industries,NACLIND.NS,nacl-industries-ltd
31,Nagarjuna Fertilizer,NAGAFERT.NS,nagarjuna-fertilizers-and-chemicals-ltd
32,Narmada Agrobase,NARMADA.NS,narmada-agrobase-ltd
33,Nath Bio-Genes,NATHBIOGEN.NS,nath-biogenes-india-ltd
34,National Fertilizers,NFL.NS,national-fertilizers-ltd
35,Paradeep Phsphts,PARADEEP.NS,paradeep-phosphates-ltd
36,PI Industries,PIIND.NS,pi-industries-ltd
37,Punjab Chemicals,PUNJABCHEM.NS,punjab-chemicals-crop-protection-ltd
38,Rallis India,RALLIS.NS,rallis-india-ltd
39,Rama Phosphates,RAMAPHO.NS,rama-phosphates-ltd
40,Rashtriya Chemical,RCF.NS,rashtriya-chemicals-fertilizers-ltd
41,Sharda Cropchem,SHARDACROP.NS,sharda-cropchem-ltd
42,Shivalik Rasayan,SHIVALIK.NS,shivalik-rasayan-ltd
43,ShreeOswal Seeds,OSWALSEEDS.NS,shree-oswal-seeds-and-chemicals-ltd
45,Sikko Industries,SIKKO.NS,sikko-industries-ltd
46,Southern Petrochem,SPIC.NS,southern-petrochemical-industries-corporation-ltd
47,UPL,UPL.NS,upl-ltd
48,Venky's India,VENKEYS.NS,venkys-india-ltd
49,Zuari Agro Chem,ZUARI.NS,zuari-agro-chemicals-ltd
