,Name,Symbol,Link
0,Apollo Tyres,APOLLOTYRE.NS,apollo-tyres-ltd
1,Ashok Leyland,ASHOKLEY.NS,ashok-leyland-ltd
2,ASK Automotive,ASKAUTOLTD.NS,ask-automotive-ltd
3,Atul Auto,ATULAUTO.NS,atul-auto-ltd
4,Autoline Industries,AUTOIND.NS,autoline-industries-ltd
5,Automotive Axles,AUTOAXLES.NS,automotive-axles-ltd
6,Automotive Stamping,ASAL.NS,automotive-stampings-assemblies-ltd
7,Bajaj Auto,BAJAJ-AUTO.NS,bajaj-auto-ltd
8,Balkrishna Industries,BALKRISIND.NS,balkrishna-industries-ltd
9,Banco Products,BANCOINDIA.NS,banco-products-india-ltd
10,Bharat Gears,BHARATGEAR.NS,bharat-gears-ltd
11,Bosch,BOSCHLTD.NS,bosch-ltd
12,Cartrade Tech,CARTRADE.NS,cartrade-tech-ltd
13,CEAT,CEATLTD.NS,ceat-ltd
14,Eicher Motors,EICHERMOT.NS,eicher-motors-ltd
15,Endurance Tech,ENDURANCE.NS,endurance-technologies-ltd
16,Escorts,ESCORTS.NS,escorts-ltd
17,Federal-Mogul Goetze,FMGOETZE.NS,federalmogul-goetze-india-ltd
18,Fiem Industries,FIEMIND.NS,fiem-industries-ltd
19,Force Motors,FORCEMOT.NS,force-motors-ltd
20,Gabriel India,GABRIEL.NS,gabriel-india-ltd
21,GNA Axles,GNA.NS,gna-axles-ltd
22,Hero MotoCorp,HEROMOTOCO.NS,hero-motocorp-ltd
23,Hi-Tech Gears,HITECHGEAR.NS,hitech-gears-ltd
24,Hindustan Composites,HINDCOMPOS.NS,hindustan-composites-ltd
25,Hindustan Motors,HINDMOTORS.NS,hindustan-motors-ltd
26,India Nippon Elec,INDNIPPON.NS,india-nippon-electricals-ltd
27,Jamna Auto Inds,JAMNAAUTO.NS,jamna-auto-industries-ltd
28,Jay Bharat Maruti,JAYBARMARU.NS,jay-bharat-maruti-ltd
29,JBM Auto,JBMA.NS,jbm-auto-ltd
30,JK Tyre & Industries,JKTYRE.NS,jk-tyre-industries-ltd
31,JTEKT India,JTEKTINDIA.NS,jtekt-india-ltd
32,Jupiter Wagons,JWL.NS,
33,Landmark Cars,LANDMARK.NS,landmark-cars-ltd
34,LG Balakrishnan,LGBBROSLTD.NS,lg-balakrishnan-brothers-ltd
35,Lumax Auto Tech,LUMAXTECH.NS,lumax-auto-technologies-ltd
36,Lumax Industries,LUMAXIND.NS,lumax-industries-ltd
37,Maharashtra Scooters,MAHSCOOTER.NS,maharashtra-scooters-ltd
38,Mahindra & Mahindra,M&M.NS,mahindra-mahindra-ltd
39,Maruti Suzuki,MARUTI.NS,maruti-suzuki-india-ltd
40,Menon Bearings,MENONBE.NS,menon-bearings-ltd
41,Minda Corporation,MINDACORP.NS,minda-corporation-ltd
42,Munjal Auto Inds,MUNJALAU.NS,munjal-auto-industries-ltd
43,Munjal Showa,MUNJALSHOW.NS,munjal-showa-ltd
44,NDR Auto Components,NDRAUTO.NS,ndr-auto-components-ltd
45,NRB Bearings,NRBBEARING.NS,nrb-bearings-ltd
46,Olectra Greentech,OLECTRA.NS,olectra-greentech-ltd
47,PPAP Automotive,PPAP.NS,ppap-automotive-ltd
48,Precision Camshafts,PRECAM.NS,precision-camshafts-ltd
49,Pricol,PRICOLLTD.NS,pricol-ltd
50,Rajratan Global Wire,RAJRATAN.NS,rajratan-global-wire-ltd
51,Rane (Madras),RML.NS,rane-madras-ltd
52,Rane Brake Linings,RBL.NS,rane-brake-lining-ltd
53,Rane Engine Valve,RANEENGINE.NS,rane-engine-valve-ltd
54,Remsons Industries,REMSONSIND.NS,remsons-industries-ltd
55,Rico Auto Inds,RICOAUTO.NS,rico-auto-industries-ltd
56,Rolex Rings,ROLEXRINGS.NS,rolex-rings-ltd-311
57,Samvardhana Motherson,MOTHERSON.NS,motherson-sumi-systems-ltd
58,Sandhar Technologies,SANDHAR.NS,sandhar-technologies-ltd
59,Sansera Engineering,SANSERA.NS,sansera-engineering-ltd
60,Schaeffler India,SCHAEFFLER.NS,schaeffler-india-ltd
61,Shanti Gears,SHANTIGEAR.NS,shanthi-gears-ltd
62,Sharda Motor,SHARDAMOTR.NS,sharda-motor-industries-ltd
63,Shivam Autotech,SHIVAMAUTO.NS,shivam-autotech-ltd
64,Sintercom India,SINTERCOM.NS,sintercom-india-ltd
65,SJS Enterprises,SJS.NS,sjs-enterprises-ltd
66,SKF India,SKFINDIA.NS,skf-india-ltd
67,SML Isuzu,SMLISUZU.NS,sml-isuzu-ltd
68,Sona Blw Precisi,SONACOMS.NS,sona-blw-precision-forgings-ltd
69,Steel Strips Wheels,SSWL.NS,steel-strips-wheels-ltd
70,Subros,SUBROS.NS,subros-ltd
71,Sundaram Brake Lin,SUNDRMBRAK.NS,sundaram-brake-linings-ltd
72,Sundaram-Clayton,SUNCLAY.NS,sundaramclayton-ltd-686
73,Suprajit Engineering,SUPRAJIT.NS,suprajit-engineering-ltd
74,Talbros Automotive,TALBROAUTO.NS,talbros-automotive-components-ltd
75,Tata Motors,TATAMOTORS.NS,tata-motors-ltd
76,Tata Motors - DVR,TATAMTRDVR.NS,tata-motors-dvr-ordinary
77,Timken India,TIMKEN.NS,timken-india-ltd
78,Tube Investments,TIINDIA.NS,tube-investments-of-india-ltd
79,TVS Holdings,TVSHLTD.NS,sundaramclayton-ltd
80,TVS Motor Company,TVSMOTOR.NS,tvs-motor-company-ltd
