,Name,New,Symbol
0,Abbott India,abbott-india-ltd,ABBOTINDIA.NS
1,ACC,acc-ltd,ACC.NS
2,Adani Energy Solut.,adani-transmission-ltd,ADANIENSOL.NS
3,Adani Green Energy,adani-green-energy-ltd,ADANIGREEN.NS
4,Adani Ports,adani-ports-and-special-economic-zone-ltd,ADANIPORTS.NS
5,Alkem Laboratories,alkem-laboratories-ltd,ALKEM.NS
6,Ambuja Cements,ambuja-cements-ltd,AMBUJACEM.NS
7,Asian Paints,asian-paints-ltd,ASIANPAINT.NS
8,Aurobindo Pharma,aurobindo-pharma-ltd,AUROPHARMA.NS
9,Avenue Supermarts,avenue-supermarts-ltd,DMART.NS
10,Axis Bank,axis-bank-ltd,AXISBANK.NS
11,Bajaj Auto,bajaj-auto-ltd,BAJAJ-AUTO.NS
12,Bajaj Finance,bajaj-finance-ltd,BAJFINANCE.NS
13,Bajaj Holdings,bajaj-holdings-investment-ltd,BAJAJHLDNG.NS
14,Bandhan Bank,bandhan-bank-ltd,BANDHANBNK.NS
15,Bank of Baroda,bank-of-baroda,BANKBARODA.NS
16,Berger Paints,berger-paints-india-ltd,BERGEPAINT.NS
17,Bharti Airtel,bharti-airtel-ltd,BHARTIARTL.NS
18,Biocon,biocon-ltd,BIOCON.NS
19,Bosch,bosch-ltd,BOSCHLTD.NS
20,BPCL,bharat-petroleum-corporation-ltd,BPCL.NS
21,Britannia Industries,britannia-industries-ltd,BRITANNIA.NS
22,Cipla,cipla-ltd,CIPLA.NS
23,Coal India,coal-india-ltd,COALINDIA.NS
24,Colgate-Palmolive,colgatepalmolive-india-ltd,COLPAL.NS
25,Container Corp,container-corporation-of-india-ltd,CONCOR.NS
26,Dabur India,dabur-india-ltd,DABUR.NS
27,Divi's Labs,divis-laboratories-ltd,DIVISLAB.NS
28,DLF,dlf-ltd,DLF.NS
29,Dr Reddy's Labs,dr-reddys-laboratories-ltd,DRREDDY.NS
30,Eicher Motors,eicher-motors-ltd,EICHERMOT.NS
31,GAIL (India),gail-india-ltd,GAIL.NS
32,General Insurance,general-insurance-corporation-of-india-ltd,GICRE.NS
33,Godrej Consumer,godrej-consumer-products-ltd,GODREJCP.NS
34,Grasim Industries,grasim-industries-ltd,GRASIM.NS
35,Havells India,havells-india-ltd,HAVELLS.NS
36,HCL Technologies,hcl-technologies-ltd,HCLTECH.NS
37,HDFC Asset Mgmt Co,hdfc-asset-management-company-ltd,HDFCAMC.NS
38,HDFC Bank,hdfc-bank-ltd,HDFCBANK.NS
39,HDFC Life Insurance,hdfc-standard-life-insurance-co-ltd,HDFCLIFE.NS
40,Hero MotoCorp,hero-motocorp-ltd,HEROMOTOCO.NS
41,Hindalco,hindalco-industries-ltd,HINDALCO.NS
42,Hindustan Unilever,hindustan-unilever-ltd,HINDUNILVR.NS
43,Hindustan Zinc,hindustan-zinc-ltd,HINDZINC.NS
44,HPCL,hindustan-petroleum-corporation-ltd,HINDPETRO.NS
45,ICICI Bank,icici-bank-ltd,ICICIBANK.NS
46,ICICI Lombard,icici-lombard-general-insurance-co-ltd,ICICIGI.NS
47,ICICI Prudential,icici-prudential-life-insurance-company-ltd,ICICIPRULI.NS
48,Indraprastha Gas,indraprastha-gas-ltd,IGL.NS
49,Indus Towers,bharti-infratel-ltd,INDUSTOWER.NS
50,IndusInd Bank,indusind-bank-ltd,INDUSINDBK.NS
51,Info Edge (India),info-edge-india-ltd,NAUKRI.NS
52,Infosys,infosys-ltd,INFY.NS
53,Interglobe Aviation,interglobe-aviation-ltd,INDIGO.NS
54,IOCL,indian-oil-corporation-ltd,IOC.NS
55,ITC,itc-ltd,ITC.NS
56,JSW Steel,jsw-steel-ltd,JSWSTEEL.NS
57,Kotak Mahindra Bank,kotak-mahindra-bank-ltd,KOTAKBANK.NS
58,L&T,larsen-toubro-ltd,LT.NS
59,LTIMindtree,larsen-toubro-infotech-ltd,LTIM.NS
60,Lupin,lupin-ltd,LUPIN.NS
61,Mahindra & Mahindra,mahindra-mahindra-ltd,M&M.NS
62,Marico,marico-ltd,MARICO.NS
63,Maruti Suzuki,maruti-suzuki-india-ltd,MARUTI.NS
64,Muthoot Finance,muthoot-finance-ltd,MUTHOOTFIN.NS
65,Nestle India,nestle-india-ltd,NESTLEIND.NS
66,NMDC,nmdc-ltd,NMDC.NS
67,NTPC,ntpc-ltd,NTPC.NS
68,OFSS,oracle-financial-services-software-ltd,OFSS.NS
69,ONGC,oil-natural-gas-corporation-ltd,ONGC.NS
70,P&G,procter-gamble-hygiene-health-care-ltd,PGHH.NS
71,Petronet LNG,petronet-lng-ltd,PETRONET.NS
