,Name,2_March,18_May
0,20 Microns,149.65,187.9
1,21st Century Mgmt,48.45,44.4
2,360 One Wam,726.85,786.9
3,3B Blackbio Dx,847.25,798.0
4,3i Infotech,49.25,39.35
5,3M India,31837.7,31096.65
6,3P Land Holdings,33.15,30.0
7,52 Weeks,2.02,1.87
8,5Paisa Capital,558.1,544.3
9,63 Moons Tech,478.75,405.65
10,7NR Retail,5.77,6.35
11,7NR Retail,5.77,6.35
12,7NR Retail,5.77,6.35
13,7NR Retail,5.77,6.35
14,7Seas Enter,34.44,40.7
15,A & M Febcon,1.03,1.03
16,A-1 Acid,354.65,348.9
17,A2Z Infra Engg,15.5,14.75
18,AAA Technologies,105.9,129.1
19,Aadi Industries,6.62,7.04
20,Aakash Exploration,10.2,10.55
21,Aananda L Mills,30.32,16.93
22,Aanchal Ispat,7.6,6.18
23,AAR Comrcl,0.0,0.0
24,AAR Shyam India,9.41,9.41
25,Aarey Pharma,46.95,51.0
26,Aarnav Fashions,30.36,27.9
27,Aaron Industries,291.25,279.55
28,Aartech Solonics,155.65,224.05
29,Aarti Drugs,505.3,487.8
30,Aarti Industries,675.3,632.05
31,Aarti Pharmalabs,491.5,615.15
32,Aarti Surfactant,678.6,690.95
33,Aarvee Denims,33.95,25.9
34,Aarvi Encon,138.65,141.4
35,Aastamangalam,49.5,48.9
36,Aavas Financiers,1454.35,1581.2
37,Aayush Food & Herb,130.85,263.35
38,Aban Offshore,72.3,63.65
39,Abans Enterprise,144.8,120.0
40,Abans Holdings,326.25,445.1
41,Abate As Inds,24.8,27.34
42,ABB India,5499.55,8416.65
43,Abbott India,28181.95,26656.9
44,ABC Gas (Intl),58.0,87.22
45,ABC India,147.75,119.7
46,ABFRL,231.5,264.05
47,Abhinav Capital,175.4,194.0
48,Abhinav Finance,2.28,2.04
49,Abhishek Finlease,32.75,39.3
50,Abhishek Infraven,6.42,6.98
51,Abm International,57.8,62.6
52,ABM Knowledgeware,110.65,109.3
53,ACC,2702.55,2525.95
54,Accedere,74.97,78.59
55,Accel,24.13,24.72
56,Accelya Solutions,1889.85,1673.3
57,Accuracy Shipping,11.8,9.15
58,Accuracy Shipping,11.8,9.15
59,Ace Engitech,23.5,22.25
60,Ace Integrated Soln,37.5,34.05
61,ACE men engg works,51.96,49.0
62,ACE Software Exp,101.04,182.25
63,ACI Infocom,2.31,2.66
64,Acknit Industries,263.85,262.25
65,ACME Resources,48.16,36.87
66,Acrow India,686.3,750.0
67,Action Const Equip,1487.3,1478.9
68,Action Fin Serv (I),3.19,3.19
69,Active Clothing Co,95.0,115.0
70,AD-Manum Finance,69.93,77.88
71,Adani Energy Solut.,1080.8,1044.6
72,Adani Enterprises,3333.25,3059.75
73,Adani Green Energy,1971.35,1831.95
74,Adani Ports,1338.3,1340.2
75,Adani Power,555.8,634.7
76,Adani Total Gas,1040.1,912.8
77,Adani Wilmar,386.6,337.6
78,Adarsh Plant,31.41,28.0
79,ADC India Comm,0.0,0.0
80,Adcon Capital Serv,1.05,0.8
81,Add-Shop E-Retail,28.36,16.6
82,Addi Industries,59.29,50.5
83,ADF Foods,216.05,234.4
84,ADF Foods,216.05,234.4
85,ADF Foods,216.05,234.4
86,ADF Foods,216.05,234.4
87,Adhbhut Infra,31.27,32.2
88,Adhunik Industries,42.25,39.9
89,Adinath Exim Rsrcs,29.9,25.6
90,Adinath Textiles,27.85,27.0
91,Aditri Gems,0.96,0.96
92,Aditya Birla Cap,186.75,223.5
93,Aditya Birla Money,112.7,131.8
94,Aditya Birla Sun,520.05,531.25
95,Aditya Ispat,10.92,10.06
96,Aditya Spinners,0.0,0.0
97,Aditya Vision,3541.05,3593.0
98,Adjia Technologies,38.0,43.33
99,Ador Fontech,150.3,144.9
100,Ador Multi Prod,38.04,35.85
101,Ador Welding,1474.5,1366.55
102,Adroit Infotech,17.2,20.35
103,Advait Infratech,1386.8,1387.4
104,Advance Lifestyles,42.5,45.8
105,Advance Metering,0.0,0.0
106,Advance Petrochem,166.0,177.65
107,Advance Syntex,7.18,7.66
108,Advanced Enzyme,393.2,375.5
109,Advani Hotels,168.2,79.0
110,Advent Computer,2.82,2.82
111,Advik Capital,3.21,2.88
112,Aegis Logistics,440.4,630.9
113,Aeonx Digital Techno,0.0,0.0
114,Aeroflex Industries,145.85,141.9
115,Aerpace Indus.,11.86,19.72
116,Aether Inds,866.1,831.55
117,AF Enterprises,6.68,6.77
118,Affle India,1125.1,1233.85
119,Agarwal Fortune Ind,31.5,25.39
120,Agarwal Inds Corp,953.45,910.7
121,AGI Greenpac,881.0,684.45
122,AGI Infra,985.5,895.0
123,Agio Paper & Inds,7.5,3.74
124,Agri-Tech India,193.45,198.0
125,Agro Phos India,46.55,44.9
126,Agro Tech Foods,823.65,713.9
127,AGS Transact,89.35,76.35
128,Ahasolar Tech,606.05,433.0
129,Ahlada Engineers,121.85,125.9
130,Ahluwalia Contracts,1215.3,1202.9
131,Ahmedabad Steel,40.21,49.93
132,Ai Champdany Inds,0.0,0.0
133,AIA Engineering,3713.3,3802.8
134,Aimco Pesticides,0.0,0.0
135,Airan,27.75,25.2
136,AiroLam,179.05,152.05
137,Ajanta Pharma,2139.25,2394.95
138,Ajanta Soya,31.88,28.37
139,Ajcon Global Services,39.67,31.76
140,Ajel,16.0,15.49
141,Ajmera Realty,738.45,770.55
142,Ajooni Biotech,6.15,6.5
143,AK Capital Serv,1051.8,909.45
144,AK Spintex,148.25,160.35
145,Akar Auto Inds,132.5,119.0
146,Akash Infra-Projects,37.95,36.05
147,Akashdeep Metal Inds,23.1,18.17
148,AKG Exim,23.6,19.55
149,AKI India,25.45,20.95
150,Akme Star Housing,58.57,58.0
151,Aksh Optifibre,10.9,9.1
152,Akshar Spintex,3.5,2.55
153,Aksharchem (India),348.25,266.65
154,Akzo Nobel India,2522.65,2616.15
155,Alan Scott Enter.,87.98,72.79
156,Alankit,19.4,18.8
157,Albert David,1298.15,1183.95
158,Alchemist,3.15,3.15
159,Alchemist Corporation,16.55,15.11
160,Alchemist Realty,2.92,2.92
161,Alembic,101.35,101.65
162,Alembic Pharma,1048.0,967.75
163,Alexander Stamps,15.46,15.0
164,Alfa Ica India,62.99,62.0
165,Alfa Transformers,92.16,101.25
166,Alfavision Overseas,15.48,14.28
167,Alfred Herbert,0.0,0.0
168,Algoquant Fintec,1601.65,1213.6
169,Alicon Castalloy,913.2,993.85
170,Alka India,2.7,2.7
171,Alka Sec,0.89,0.89
172,Alkali Metals,120.75,120.2
173,Alkem Laboratories,5106.55,5438.25
174,Alkosign,206.0,172.0
175,Alkyl Amines Chem,2151.85,2039.45
176,Allcargo Gati,117.2,108.75
177,Allcargo Logistics,87.8,72.4
178,Allcargo Terminal,65.5,57.15
179,Alliance Integrated,55.34,70.5
180,Allied Digital Serv,156.05,143.2
